ticker,company_name,country,market_cap,currency,ev_ebitda_t12m,ev_sales_t12m,ebitda_margin,roic,revenue_growth,net_debt_to_ebitda,distance_from_52w_high,mna_score
VEI NO,VEIDEKKE ASA,NO,24319119313.399998,NOK,6.3507981300354,0.4580237567424774,2.9935779571533203,32.22417068481445,6.839309428950863,-1.3808618715523227,-0.08805670833026391,0.7511052631578946
NAS NO,NORWEGIAN AIR SH,NO,14947459247.380829,NOK,2.184941291809082,0.5112136006355286,13.571842193603516,16.758941650390625,4.892130051656031,0.49102822164924953,-0.22710030296345107,0.7373684210526316
BYGGP SS,BYGGPARTNER GRUP,SE,2004135617.3935316,SEK,7.3887038230896,0.35185936093330383,4.839599132537842,19.730806350708008,20.899616859544444,-0.5137998312387935,-0.17286244180193533,0.7284473684210525
AFG NO,AF GRUPPEN ASA,NO,21120154481,NOK,8.820808410644531,0.6293095350265503,5.991477012634277,20.35011863708496,11.909103661102538,-0.6333760036712385,-0.03430350366869195,0.7146578947368422
LOOMIS SS,LOOMIS AB,SE,31168400817.871094,SEK,5.763502597808838,1.2162165641784668,22.40021324157715,7.978733062744141,-2.2700587084148727,0.8875313408739114,-0.0288461414559934,0.7031315789473683
BONHR NO,BONHEUR ASA,NO,9676005657.5,NOK,3.478597640991211,1.0491584539413452,26.453184127807617,11.168085098266602,-0.7941988950276243,0.07524594982713995,-0.1875,0.7011842105263159
WAWI NO,WALLENIUS WILHEL,NO,59150071623.6138,NOK,4.3609395027160645,1.5582575798034668,30.486831665039062,18.650249481201172,-3.392444101773323,1.1120086271072052,-0.018964303338925625,0.6908157894736842
HAUTO NO,HOEGH AUTOLINERS,NO,30618544714.5,NOK,5.947403430938721,2.5743508338928223,40.15213394165039,23.70090675354004,9.322342764812362,1.0710556393242112,-0.004578115921693882,0.6875263157894737
PAALB DC,PER AARSLEFF HOL,DK,12880350000,DKK,6.135782241821289,0.5635188221931458,8.656224250793457,11.016873359680176,15.369982879969564,0.26672695115270784,-0.2800875273522976,0.651842105263158
KALMAR FH,KALMAR OYJ-B,FI,2585829543.6000004,EUR,8.94264030456543,1.4476628303527832,15.943756103515625,18.620277404785156,5.400653102235619,-0.11772949834374412,-0.21407626977955896,0.6444210526315789
